,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
472,Social Anthropology,PTMSCSANPY1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSANPY1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",310
473,Social Anthropology,PRPHDSANPY1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSANPY1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",324
474,Social Justice and Community Action (Online Learning),PTMSCSJUCA1U,"MSc, PgDip (ICL), PgCert (ICL)",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSJUCA1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,878
475,Social Policy,PRPHDSOCPL1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSOCPL1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",323
476,Social Psychology,PTMSCSOCPS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSOCPS1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1057
477,Social Research,PTMSCSORES1F,"MSc, PgCert (ICL)",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSORES1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",313
478,Social Work,PRPHDSOWRK1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSOWRK1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",325
479,"Social Work, Master of",No Program Code,MSW,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=314,Social & Political Science,"Arts, Humanities & Social Sciences",Not applicable,314
480,Socio-cultural Studies,PRPHDSOCTS1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSOCTS1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",312
481,Sociology,PRPHDSOCIO1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSOCIO1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",326
482,Sociology and Global Change,PTMSCSOCGC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSOCGC1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",643
483,Soils and Sustainability,PTMSCSOASU1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSOASU1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£18,000', 'Rest of UK': '£18,000', 'International/EU': '£34,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",781
484,Sound Design,PTMSCSNDES1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSNDES1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",51
485,Sound Design,PRMSCSNDES1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCSNDES1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",408
486,South Asian Studies,PRPHDSASST1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSASST1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",327
487,"Spanish, Portuguese & Latin American Studies (Hispanic Studies)",PRMSCHISPC1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCHISPC1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",258
488,"Spanish, Portuguese & Latin American Studies (Hispanic Studies)",No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDHISPC1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1019
489,Speech and Language Processing,PTMSCSLANP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSLANP1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",290
490,"Sport Policy, Management and International Development",PTMSCSPMID1U,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSPMID1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,828
491,"Sport, Physical Education and Health Sciences",No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSPEHS1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",968
492,"Sport, Physical Education and Health Sciences",No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCSPEHS1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1051
493,Statistics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST8F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",516
494,Statistics and Operational Research,PTMSCSTATO1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSTATO1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",660
495,Statistics with Data Science,PTMSCSTADS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSTADS1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",916
496,Stem Cell Research,No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=11,Biological Sciences,Science & Engineering,Not applicable,11
497,Stem Cells and Translational Neurology (Online Learning),PTMSCSTCTN1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSTCTN1U,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,939
498,Strength and Conditioning,PTMSCSTCON1U,"MSc, PgDip (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSTCON1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,127
499,Surgery,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRAEF,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,835
500,Surgical Sciences (Online Learning),PTMSCSUGSC1P,"MSc, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSUGSC1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,404
501,Sustainable Energy Systems,PTMSCSUSES1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSUSES1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",22
502,Sustainable Lands and Cities,No Program Code,"MSc, PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSLCOS1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1088
503,Sustainable Lands and Cities (Online Learning),No Program Code,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSLCOL1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1089
504,Synthetic Biology and Biotechnology,PTMSCSYBIO1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSYBIO1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",857
505,Systematic Theology,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDIVIN6F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",67
506,Systems and Synthetic Biology,PTMSCSSBIO1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSSBIO1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",649
507,Teaching English to Speakers of Other Languages (TESOL),PTMSCTESOL1U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCTESOL1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,128
508,The Middle East in Global Politics ,PTMSCINTME2P,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCINTME2P,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,550', 'Rest of UK': '£13,550', 'International/EU': '£13,550', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1094
509,Theology and Religious Studies ,No Program Code,"MTh by Research, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMTHTHERS1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1033
510,Theology in History,PTMTHTHEHI1F,"MTh, MSc",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMTHTHEHI1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",61
511,Theoretical Physics,PTMSCTHEPH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCTHEPH1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",818
512,Transformative Learning and Teaching,PTMSCTRALT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCTRALT1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,938
513,Translation Studies,PTMSCTRANS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCTRANS1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",251
514,Translation Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDTRANS1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",266
515,Translational Neuroscience,No Program Code,PhD,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=956,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,956
516,Trauma and Orthopaedics (Online Learning),PTCHMTRORT1P,ChM (Trauma & Orthopaedics),Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTCHMTRORT1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£7,600', 'Additional Programme Costs': '£0'}",791
517,UKRI Centre for Doctoral Training in Biomedical Artificial Intelligence,PRMSCBIOAI1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCBIOAI1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",981
518,UKRI Centre for Doctoral Training in Natural Language Processing,PRPHDNATLP1F,PhD with Integrated Study,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDNATLP1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",982
